episode 0, score -86.68, avg_score_total -86.68, avg_score_last_20 -86.68, time_steps_per_episode 1600, learning_steps 80, std_score 0.00, std_score_last_20 0.00, total_time_steps 1600, total_learning_steps 80, total_terminations 0, total_truncations 1
episode 1, score -79.48, avg_score_total -83.08, avg_score_last_20 -83.08, time_steps_per_episode 1600, learning_steps 80, std_score 3.60, std_score_last_20 3.60, total_time_steps 3200, total_learning_steps 160, total_terminations 0, total_truncations 2
episode 2, score -88.60, avg_score_total -84.92, avg_score_last_20 -84.92, time_steps_per_episode 1600, learning_steps 80, std_score 3.93, std_score_last_20 3.93, total_time_steps 4800, total_learning_steps 240, total_terminations 0, total_truncations 3
episode 3, score -117.95, avg_score_total -93.18, avg_score_last_20 -93.18, time_steps_per_episode 68, learning_steps 3, std_score 14.70, std_score_last_20 14.70, total_time_steps 4868, total_learning_steps 243, total_terminations 1, total_truncations 3
episode 4, score -113.37, avg_score_total -97.22, avg_score_last_20 -97.22, time_steps_per_episode 45, learning_steps 2, std_score 15.43, std_score_last_20 15.43, total_time_steps 4913, total_learning_steps 245, total_terminations 2, total_truncations 3
episode 5, score -107.42, avg_score_total -98.92, avg_score_last_20 -98.92, time_steps_per_episode 70, learning_steps 3, std_score 14.59, std_score_last_20 14.59, total_time_steps 4983, total_learning_steps 248, total_terminations 3, total_truncations 3
episode 6, score -112.60, avg_score_total -100.87, avg_score_last_20 -100.87, time_steps_per_episode 65, learning_steps 3, std_score 14.33, std_score_last_20 14.33, total_time_steps 5048, total_learning_steps 251, total_terminations 4, total_truncations 3
episode 7, score -82.30, avg_score_total -98.55, avg_score_last_20 -98.55, time_steps_per_episode 1600, learning_steps 80, std_score 14.75, std_score_last_20 14.75, total_time_steps 6648, total_learning_steps 331, total_terminations 4, total_truncations 4
episode 8, score -115.73, avg_score_total -100.46, avg_score_last_20 -100.46, time_steps_per_episode 62, learning_steps 3, std_score 14.91, std_score_last_20 14.91, total_time_steps 6710, total_learning_steps 334, total_terminations 5, total_truncations 4
episode 9, score -111.23, avg_score_total -101.54, avg_score_last_20 -101.54, time_steps_per_episode 51, learning_steps 2, std_score 14.51, std_score_last_20 14.51, total_time_steps 6761, total_learning_steps 336, total_terminations 6, total_truncations 4
episode 10, score -107.51, avg_score_total -102.08, avg_score_last_20 -102.08, time_steps_per_episode 56, learning_steps 2, std_score 13.94, std_score_last_20 13.94, total_time_steps 6817, total_learning_steps 338, total_terminations 7, total_truncations 4
