episode 0, score -31.08, avg_score_total -31.08, avg_score_last_20 -31.08, time_steps_per_episode 999, learning_steps 49, std_score 0.00, std_score_last_20 0.00, total_time_steps 999, total_learning_steps 49, total_terminations 0, total_truncations 1
episode 1, score -20.86, avg_score_total -25.97, avg_score_last_20 -25.97, time_steps_per_episode 999, learning_steps 49, std_score 5.11, std_score_last_20 5.11, total_time_steps 1998, total_learning_steps 98, total_terminations 0, total_truncations 2
episode 2, score -14.84, avg_score_total -22.26, avg_score_last_20 -22.26, time_steps_per_episode 999, learning_steps 49, std_score 6.71, std_score_last_20 6.71, total_time_steps 2997, total_learning_steps 147, total_terminations 0, total_truncations 3
episode 3, score -10.99, avg_score_total -19.44, avg_score_last_20 -19.44, time_steps_per_episode 999, learning_steps 49, std_score 7.58, std_score_last_20 7.58, total_time_steps 3996, total_learning_steps 196, total_terminations 0, total_truncations 4
episode 4, score -8.82, avg_score_total -17.32, avg_score_last_20 -17.32, time_steps_per_episode 999, learning_steps 49, std_score 8.01, std_score_last_20 8.01, total_time_steps 4995, total_learning_steps 245, total_terminations 0, total_truncations 5
episode 5, score -7.15, avg_score_total -15.62, avg_score_last_20 -15.62, time_steps_per_episode 999, learning_steps 49, std_score 8.23, std_score_last_20 8.23, total_time_steps 5994, total_learning_steps 294, total_terminations 0, total_truncations 6
episode 6, score -5.05, avg_score_total -14.11, avg_score_last_20 -14.11, time_steps_per_episode 999, learning_steps 49, std_score 8.47, std_score_last_20 8.47, total_time_steps 6993, total_learning_steps 343, total_terminations 0, total_truncations 7
episode 7, score -5.26, avg_score_total -13.01, avg_score_last_20 -13.01, time_steps_per_episode 999, learning_steps 49, std_score 8.45, std_score_last_20 8.45, total_time_steps 7992, total_learning_steps 392, total_terminations 0, total_truncations 8
episode 8, score -5.97, avg_score_total -12.22, avg_score_last_20 -12.22, time_steps_per_episode 999, learning_steps 49, std_score 8.27, std_score_last_20 8.27, total_time_steps 8991, total_learning_steps 441, total_terminations 0, total_truncations 9
episode 9, score -5.42, avg_score_total -11.54, avg_score_last_20 -11.54, time_steps_per_episode 999, learning_steps 49, std_score 8.10, std_score_last_20 8.10, total_time_steps 9990, total_learning_steps 490, total_terminations 0, total_truncations 10
episode 10, score -4.62, avg_score_total -10.91, avg_score_last_20 -10.91, time_steps_per_episode 999, learning_steps 49, std_score 7.98, std_score_last_20 7.98, total_time_steps 10989, total_learning_steps 539, total_terminations 0, total_truncations 11
episode 11, score -5.45, avg_score_total -10.46, avg_score_last_20 -10.46, time_steps_per_episode 999, learning_steps 49, std_score 7.79, std_score_last_20 7.79, total_time_steps 11988, total_learning_steps 588, total_terminations 0, total_truncations 12
episode 12, score -5.67, avg_score_total -10.09, avg_score_last_20 -10.09, time_steps_per_episode 999, learning_steps 49, std_score 7.59, std_score_last_20 7.59, total_time_steps 12987, total_learning_steps 637, total_terminations 0, total_truncations 13
episode 13, score -5.44, avg_score_total -9.76, avg_score_last_20 -9.76, time_steps_per_episode 999, learning_steps 49, std_score 7.41, std_score_last_20 7.41, total_time_steps 13986, total_learning_steps 686, total_terminations 0, total_truncations 14
episode 14, score -6.54, avg_score_total -9.54, avg_score_last_20 -9.54, time_steps_per_episode 999, learning_steps 49, std_score 7.20, std_score_last_20 7.20, total_time_steps 14985, total_learning_steps 735, total_terminations 0, total_truncations 15
episode 15, score -7.14, avg_score_total -9.39, avg_score_last_20 -9.39, time_steps_per_episode 999, learning_steps 49, std_score 7.00, std_score_last_20 7.00, total_time_steps 15984, total_learning_steps 784, total_terminations 0, total_truncations 16
episode 16, score -5.72, avg_score_total -9.18, avg_score_last_20 -9.18, time_steps_per_episode 999, learning_steps 49, std_score 6.85, std_score_last_20 6.85, total_time_steps 16983, total_learning_steps 833, total_terminations 0, total_truncations 17
episode 17, score -5.29, avg_score_total -8.96, avg_score_last_20 -8.96, time_steps_per_episode 999, learning_steps 49, std_score 6.71, std_score_last_20 6.71, total_time_steps 17982, total_learning_steps 882, total_terminations 0, total_truncations 18
episode 18, score -6.32, avg_score_total -8.82, avg_score_last_20 -8.82, time_steps_per_episode 999, learning_steps 49, std_score 6.56, std_score_last_20 6.56, total_time_steps 18981, total_learning_steps 931, total_terminations 0, total_truncations 19
episode 19, score -5.46, avg_score_total -8.65, avg_score_last_20 -8.65, time_steps_per_episode 999, learning_steps 49, std_score 6.43, std_score_last_20 6.43, total_time_steps 19980, total_learning_steps 980, total_terminations 0, total_truncations 20
episode 20, score -5.32, avg_score_total -8.50, avg_score_last_20 -7.37, time_steps_per_episode 999, learning_steps 49, std_score 6.32, std_score_last_20 3.89, total_time_steps 20979, total_learning_steps 1029, total_terminations 0, total_truncations 21
episode 21, score -5.92, avg_score_total -8.38, avg_score_last_20 -6.62, time_steps_per_episode 999, learning_steps 49, std_score 6.20, std_score_last_20 2.37, total_time_steps 21978, total_learning_steps 1078, total_terminations 0, total_truncations 22
episode 22, score -6.06, avg_score_total -8.28, avg_score_last_20 -6.18, time_steps_per_episode 999, learning_steps 49, std_score 6.08, std_score_last_20 1.43, total_time_steps 22977, total_learning_steps 1127, total_terminations 0, total_truncations 23
episode 23, score -4.74, avg_score_total -8.13, avg_score_last_20 -5.87, time_steps_per_episode 999, learning_steps 49, std_score 5.99, std_score_last_20 0.95, total_time_steps 23976, total_learning_steps 1176, total_terminations 0, total_truncations 24
episode 24, score -6.75, avg_score_total -8.08, avg_score_last_20 -5.76, time_steps_per_episode 999, learning_steps 49, std_score 5.88, std_score_last_20 0.70, total_time_steps 24975, total_learning_steps 1225, total_terminations 0, total_truncations 25
episode 25, score -6.66, avg_score_total -8.02, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 5.77, std_score_last_20 0.66, total_time_steps 25974, total_learning_steps 1274, total_terminations 0, total_truncations 26
episode 26, score -5.84, avg_score_total -7.94, avg_score_last_20 -5.78, time_steps_per_episode 999, learning_steps 49, std_score 5.68, std_score_last_20 0.64, total_time_steps 26973, total_learning_steps 1323, total_terminations 0, total_truncations 27
episode 27, score -5.59, avg_score_total -7.86, avg_score_last_20 -5.80, time_steps_per_episode 999, learning_steps 49, std_score 5.59, std_score_last_20 0.63, total_time_steps 27972, total_learning_steps 1372, total_terminations 0, total_truncations 28
episode 28, score -6.96, avg_score_total -7.83, avg_score_last_20 -5.85, time_steps_per_episode 999, learning_steps 49, std_score 5.50, std_score_last_20 0.68, total_time_steps 28971, total_learning_steps 1421, total_terminations 0, total_truncations 29
episode 29, score -5.81, avg_score_total -7.76, avg_score_last_20 -5.87, time_steps_per_episode 999, learning_steps 49, std_score 5.42, std_score_last_20 0.67, total_time_steps 29970, total_learning_steps 1470, total_terminations 0, total_truncations 30
episode 30, score -6.19, avg_score_total -7.71, avg_score_last_20 -5.94, time_steps_per_episode 999, learning_steps 49, std_score 5.34, std_score_last_20 0.61, total_time_steps 30969, total_learning_steps 1519, total_terminations 0, total_truncations 31
episode 31, score -5.33, avg_score_total -7.63, avg_score_last_20 -5.94, time_steps_per_episode 999, learning_steps 49, std_score 5.27, std_score_last_20 0.62, total_time_steps 31968, total_learning_steps 1568, total_terminations 0, total_truncations 32
episode 32, score -5.06, avg_score_total -7.56, avg_score_last_20 -5.91, time_steps_per_episode 999, learning_steps 49, std_score 5.21, std_score_last_20 0.64, total_time_steps 32967, total_learning_steps 1617, total_terminations 0, total_truncations 33
episode 33, score -4.84, avg_score_total -7.48, avg_score_last_20 -5.88, time_steps_per_episode 999, learning_steps 49, std_score 5.15, std_score_last_20 0.68, total_time_steps 33966, total_learning_steps 1666, total_terminations 0, total_truncations 34
episode 34, score -5.60, avg_score_total -7.42, avg_score_last_20 -5.83, time_steps_per_episode 999, learning_steps 49, std_score 5.09, std_score_last_20 0.66, total_time_steps 34965, total_learning_steps 1715, total_terminations 0, total_truncations 35
episode 35, score -5.91, avg_score_total -7.38, avg_score_last_20 -5.77, time_steps_per_episode 999, learning_steps 49, std_score 5.02, std_score_last_20 0.59, total_time_steps 35964, total_learning_steps 1764, total_terminations 0, total_truncations 36
episode 36, score -4.13, avg_score_total -7.29, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.98, std_score_last_20 0.69, total_time_steps 36963, total_learning_steps 1813, total_terminations 0, total_truncations 37
episode 37, score -5.03, avg_score_total -7.23, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.93, std_score_last_20 0.70, total_time_steps 37962, total_learning_steps 1862, total_terminations 0, total_truncations 38
episode 38, score -6.58, avg_score_total -7.22, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.87, std_score_last_20 0.71, total_time_steps 38961, total_learning_steps 1911, total_terminations 0, total_truncations 39
episode 39, score -5.50, avg_score_total -7.17, avg_score_last_20 -5.69, time_steps_per_episode 999, learning_steps 49, std_score 4.81, std_score_last_20 0.71, total_time_steps 39960, total_learning_steps 1960, total_terminations 0, total_truncations 40
episode 40, score -5.02, avg_score_total -7.12, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.76, std_score_last_20 0.72, total_time_steps 40959, total_learning_steps 2009, total_terminations 0, total_truncations 41
episode 41, score -5.92, avg_score_total -7.09, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.71, std_score_last_20 0.72, total_time_steps 41958, total_learning_steps 2058, total_terminations 0, total_truncations 42
episode 42, score -6.06, avg_score_total -7.07, avg_score_last_20 -5.68, time_steps_per_episode 999, learning_steps 49, std_score 4.66, std_score_last_20 0.72, total_time_steps 42957, total_learning_steps 2107, total_terminations 0, total_truncations 43
episode 43, score -6.32, avg_score_total -7.05, avg_score_last_20 -5.75, time_steps_per_episode 999, learning_steps 49, std_score 4.61, std_score_last_20 0.70, total_time_steps 43956, total_learning_steps 2156, total_terminations 0, total_truncations 44
episode 44, score -6.42, avg_score_total -7.04, avg_score_last_20 -5.74, time_steps_per_episode 999, learning_steps 49, std_score 4.56, std_score_last_20 0.68, total_time_steps 44955, total_learning_steps 2205, total_terminations 0, total_truncations 45
