episode 0, score -1415.9172968359997, avg_score_total -1415.917, avg_score_last_20 -1415.9172968359997, time_steps_per_episode 200, learning_steps 40, total_time_steps 200, total_learning_steps 40
episode 1, score -1287.5904940574992, avg_score_total -1351.754, avg_score_last_20 -1351.7538954467495, time_steps_per_episode 200, learning_steps 40, total_time_steps 400, total_learning_steps 80
episode 2, score -1595.2672171537577, avg_score_total -1432.925, avg_score_last_20 -1432.925002682419, time_steps_per_episode 200, learning_steps 40, total_time_steps 600, total_learning_steps 120
episode 3, score -1732.76756499122, avg_score_total -1507.886, avg_score_last_20 -1507.8856432596192, time_steps_per_episode 200, learning_steps 40, total_time_steps 800, total_learning_steps 160
episode 4, score -1768.2883189376855, avg_score_total -1559.966, avg_score_last_20 -1559.9661783952324, time_steps_per_episode 200, learning_steps 40, total_time_steps 1000, total_learning_steps 200
episode 5, score -1673.9448800090247, avg_score_total -1578.963, avg_score_last_20 -1578.9626286641978, time_steps_per_episode 200, learning_steps 40, total_time_steps 1200, total_learning_steps 240
episode 6, score -1683.1302305455845, avg_score_total -1593.844, avg_score_last_20 -1593.8437146472531, time_steps_per_episode 200, learning_steps 40, total_time_steps 1400, total_learning_steps 280
episode 7, score -1638.572273145348, avg_score_total -1599.435, avg_score_last_20 -1599.434784459515, time_steps_per_episode 200, learning_steps 40, total_time_steps 1600, total_learning_steps 320
episode 8, score -1868.5992958423144, avg_score_total -1629.342, avg_score_last_20 -1629.341952390937, time_steps_per_episode 200, learning_steps 40, total_time_steps 1800, total_learning_steps 360
episode 9, score -1394.9280768818292, avg_score_total -1605.901, avg_score_last_20 -1605.9005648400264, time_steps_per_episode 200, learning_steps 40, total_time_steps 2000, total_learning_steps 400
episode 10, score -1876.4914463346267, avg_score_total -1630.500, avg_score_last_20 -1630.4997358849903, time_steps_per_episode 200, learning_steps 40, total_time_steps 2200, total_learning_steps 440
episode 11, score -1713.4500598627612, avg_score_total -1637.412, avg_score_last_20 -1637.4122628831376, time_steps_per_episode 200, learning_steps 40, total_time_steps 2400, total_learning_steps 480
episode 12, score -1554.6845507485382, avg_score_total -1631.049, avg_score_last_20 -1631.0485927189377, time_steps_per_episode 200, learning_steps 40, total_time_steps 2600, total_learning_steps 520
episode 13, score -1521.1596992407972, avg_score_total -1623.199, avg_score_last_20 -1623.1993860419277, time_steps_per_episode 200, learning_steps 40, total_time_steps 2800, total_learning_steps 560
episode 14, score -1535.9726081793215, avg_score_total -1617.384, avg_score_last_20 -1617.384267517754, time_steps_per_episode 200, learning_steps 40, total_time_steps 3000, total_learning_steps 600
episode 15, score -1512.7352663899796, avg_score_total -1610.844, avg_score_last_20 -1610.8437049472682, time_steps_per_episode 200, learning_steps 40, total_time_steps 3200, total_learning_steps 640
episode 16, score -1484.6050893041636, avg_score_total -1603.418, avg_score_last_20 -1603.4179040270856, time_steps_per_episode 200, learning_steps 40, total_time_steps 3400, total_learning_steps 680
episode 17, score -1474.833685431952, avg_score_total -1596.274, avg_score_last_20 -1596.274336327356, time_steps_per_episode 200, learning_steps 40, total_time_steps 3600, total_learning_steps 720
episode 18, score -1416.8420843024635, avg_score_total -1586.831, avg_score_last_20 -1586.830533589204, time_steps_per_episode 200, learning_steps 40, total_time_steps 3800, total_learning_steps 760
episode 19, score -1350.1163766370219, avg_score_total -1574.995, avg_score_last_20 -1574.994825741595, time_steps_per_episode 200, learning_steps 40, total_time_steps 4000, total_learning_steps 800
episode 20, score -1514.4025445728248, avg_score_total -1572.109, avg_score_last_20 -1579.919088128436, time_steps_per_episode 200, learning_steps 40, total_time_steps 4200, total_learning_steps 840
episode 21, score -1448.0904607114833, avg_score_total -1566.472, avg_score_last_20 -1587.9440864611352, time_steps_per_episode 200, learning_steps 40, total_time_steps 4400, total_learning_steps 880
episode 22, score -1384.6801217401435, avg_score_total -1558.568, avg_score_last_20 -1577.4147316904543, time_steps_per_episode 200, learning_steps 40, total_time_steps 4600, total_learning_steps 920
