episode 0, score -119908.73, avg_score_total -119908.73, avg_score_last_20 -119908.73, time_steps_per_episode 200, learning_steps 10, std_score 0.00, std_score_last_20 0.00, total_time_steps 200, total_learning_steps 10, total_terminations 0, total_truncations 1
episode 1, score -177864.42, avg_score_total -148886.57, avg_score_last_20 -148886.57, time_steps_per_episode 200, learning_steps 10, std_score 28977.84, std_score_last_20 28977.84, total_time_steps 400, total_learning_steps 20, total_terminations 0, total_truncations 2
episode 2, score -179293.14, avg_score_total -159022.10, avg_score_last_20 -159022.10, time_steps_per_episode 200, learning_steps 10, std_score 27663.48, std_score_last_20 27663.48, total_time_steps 600, total_learning_steps 30, total_terminations 0, total_truncations 3
episode 3, score -166180.80, avg_score_total -160811.77, avg_score_last_20 -160811.77, time_steps_per_episode 200, learning_steps 10, std_score 24156.98, std_score_last_20 24156.98, total_time_steps 800, total_learning_steps 40, total_terminations 0, total_truncations 4
episode 4, score -166033.30, avg_score_total -161856.08, avg_score_last_20 -161856.08, time_steps_per_episode 200, learning_steps 10, std_score 21707.37, std_score_last_20 21707.37, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 5
episode 5, score -182715.89, avg_score_total -165332.71, avg_score_last_20 -165332.71, time_steps_per_episode 200, learning_steps 10, std_score 21286.38, std_score_last_20 21286.38, total_time_steps 1200, total_learning_steps 60, total_terminations 0, total_truncations 6
episode 6, score -164114.80, avg_score_total -165158.73, avg_score_last_20 -165158.73, time_steps_per_episode 200, learning_steps 10, std_score 19711.97, std_score_last_20 19711.97, total_time_steps 1400, total_learning_steps 70, total_terminations 0, total_truncations 7
episode 7, score -179628.93, avg_score_total -166967.50, avg_score_last_20 -166967.50, time_steps_per_episode 200, learning_steps 10, std_score 19049.75, std_score_last_20 19049.75, total_time_steps 1600, total_learning_steps 80, total_terminations 0, total_truncations 8
episode 8, score -177542.52, avg_score_total -168142.50, avg_score_last_20 -168142.50, time_steps_per_episode 200, learning_steps 10, std_score 18265.18, std_score_last_20 18265.18, total_time_steps 1800, total_learning_steps 90, total_terminations 0, total_truncations 9
episode 9, score -177710.78, avg_score_total -169099.33, avg_score_last_20 -169099.33, time_steps_per_episode 200, learning_steps 10, std_score 17564.02, std_score_last_20 17564.02, total_time_steps 2000, total_learning_steps 100, total_terminations 0, total_truncations 10
episode 10, score -183058.05, avg_score_total -170368.31, avg_score_last_20 -170368.31, time_steps_per_episode 200, learning_steps 10, std_score 17220.71, std_score_last_20 17220.71, total_time_steps 2200, total_learning_steps 110, total_terminations 0, total_truncations 11
episode 11, score -145360.86, avg_score_total -168284.35, avg_score_last_20 -168284.35, time_steps_per_episode 200, learning_steps 10, std_score 17877.68, std_score_last_20 17877.68, total_time_steps 2400, total_learning_steps 120, total_terminations 0, total_truncations 12
episode 12, score -167869.33, avg_score_total -168252.43, avg_score_last_20 -168252.43, time_steps_per_episode 200, learning_steps 10, std_score 17176.68, std_score_last_20 17176.68, total_time_steps 2600, total_learning_steps 130, total_terminations 0, total_truncations 13
episode 13, score -151384.07, avg_score_total -167047.54, avg_score_last_20 -167047.54, time_steps_per_episode 200, learning_steps 10, std_score 17112.47, std_score_last_20 17112.47, total_time_steps 2800, total_learning_steps 140, total_terminations 0, total_truncations 14
episode 14, score -161517.57, avg_score_total -166678.88, avg_score_last_20 -166678.88, time_steps_per_episode 200, learning_steps 10, std_score 16589.67, std_score_last_20 16589.67, total_time_steps 3000, total_learning_steps 150, total_terminations 0, total_truncations 15
episode 15, score -162598.99, avg_score_total -166423.89, avg_score_last_20 -166423.89, time_steps_per_episode 200, learning_steps 10, std_score 16093.21, std_score_last_20 16093.21, total_time_steps 3200, total_learning_steps 160, total_terminations 0, total_truncations 16
episode 16, score -165795.66, avg_score_total -166386.93, avg_score_last_20 -166386.93, time_steps_per_episode 200, learning_steps 10, std_score 15613.40, std_score_last_20 15613.40, total_time_steps 3400, total_learning_steps 170, total_terminations 0, total_truncations 17
episode 17, score -161864.25, avg_score_total -166135.67, avg_score_last_20 -166135.67, time_steps_per_episode 200, learning_steps 10, std_score 15208.83, std_score_last_20 15208.83, total_time_steps 3600, total_learning_steps 180, total_terminations 0, total_truncations 18
episode 18, score -144942.74, avg_score_total -165020.25, avg_score_last_20 -165020.25, time_steps_per_episode 200, learning_steps 10, std_score 15541.21, std_score_last_20 15541.21, total_time_steps 3800, total_learning_steps 190, total_terminations 0, total_truncations 19
episode 19, score -185219.25, avg_score_total -166030.20, avg_score_last_20 -166030.20, time_steps_per_episode 200, learning_steps 10, std_score 15774.43, std_score_last_20 15774.43, total_time_steps 4000, total_learning_steps 200, total_terminations 0, total_truncations 20
episode 20, score -168217.27, avg_score_total -166134.35, avg_score_last_20 -168445.63, time_steps_per_episode 200, learning_steps 10, std_score 15401.31, std_score_last_20 11699.48, total_time_steps 4200, total_learning_steps 210, total_terminations 0, total_truncations 21
episode 21, score -176868.13, avg_score_total -166622.25, avg_score_last_20 -168395.82, time_steps_per_episode 200, learning_steps 10, std_score 15212.41, std_score_last_20 11661.33, total_time_steps 4400, total_learning_steps 220, total_terminations 0, total_truncations 22
episode 22, score -175472.21, avg_score_total -167007.03, avg_score_last_20 -168204.77, time_steps_per_episode 200, learning_steps 10, std_score 14987.10, std_score_last_20 11511.58, total_time_steps 4600, total_learning_steps 230, total_terminations 0, total_truncations 23
episode 23, score -159498.17, avg_score_total -166694.16, avg_score_last_20 -167870.64, time_steps_per_episode 200, learning_steps 10, std_score 14748.07, std_score_last_20 11661.48, total_time_steps 4800, total_learning_steps 240, total_terminations 0, total_truncations 24
episode 24, score -172608.16, avg_score_total -166930.72, avg_score_last_20 -168199.38, time_steps_per_episode 200, learning_steps 10, std_score 14496.50, std_score_last_20 11697.67, total_time_steps 5000, total_learning_steps 250, total_terminations 0, total_truncations 25
episode 25, score -177653.61, avg_score_total -167343.14, avg_score_last_20 -167946.27, time_steps_per_episode 200, learning_steps 10, std_score 14363.77, std_score_last_20 11432.59, total_time_steps 5200, total_learning_steps 260, total_terminations 0, total_truncations 26
episode 26, score -163490.17, avg_score_total -167200.44, avg_score_last_20 -167915.04, time_steps_per_episode 200, learning_steps 10, std_score 14114.04, std_score_last_20 11443.86, total_time_steps 5400, total_learning_steps 270, total_terminations 0, total_truncations 27
episode 27, score -147461.17, avg_score_total -166495.46, avg_score_last_20 -166306.65, time_steps_per_episode 200, learning_steps 10, std_score 14335.63, std_score_last_20 11934.50, total_time_steps 5600, total_learning_steps 280, total_terminations 0, total_truncations 28
episode 28, score -175111.23, avg_score_total -166792.56, avg_score_last_20 -166185.08, time_steps_per_episode 200, learning_steps 10, std_score 14173.75, std_score_last_20 11831.37, total_time_steps 5800, total_learning_steps 290, total_terminations 0, total_truncations 29
episode 29, score -184777.94, avg_score_total -167392.07, avg_score_last_20 -166538.44, time_steps_per_episode 200, learning_steps 10, std_score 14304.60, std_score_last_20 12267.81, total_time_steps 6000, total_learning_steps 300, total_terminations 0, total_truncations 30
episode 30, score -154453.67, avg_score_total -166974.70, avg_score_last_20 -165108.22, time_steps_per_episode 200, learning_steps 10, std_score 14256.47, std_score_last_20 11921.02, total_time_steps 6200, total_learning_steps 310, total_terminations 0, total_truncations 31
