episode 0, score -1788.16, avg_score_total -1788.16, avg_score_last_20 -1788.16, time_steps_per_episode 200, learning_steps 10, std_score 0.00, std_score_last_20 0.00, total_time_steps 200, total_learning_steps 10, total_terminations 0, total_truncations 1
episode 1, score -1606.57, avg_score_total -1697.37, avg_score_last_20 -1697.37, time_steps_per_episode 200, learning_steps 10, std_score 90.80, std_score_last_20 90.80, total_time_steps 400, total_learning_steps 20, total_terminations 0, total_truncations 2
episode 2, score -1717.82, avg_score_total -1704.18, avg_score_last_20 -1704.18, time_steps_per_episode 200, learning_steps 10, std_score 74.76, std_score_last_20 74.76, total_time_steps 600, total_learning_steps 30, total_terminations 0, total_truncations 3
episode 3, score -1840.61, avg_score_total -1738.29, avg_score_last_20 -1738.29, time_steps_per_episode 200, learning_steps 10, std_score 87.64, std_score_last_20 87.64, total_time_steps 800, total_learning_steps 40, total_terminations 0, total_truncations 4
episode 4, score -1234.16, avg_score_total -1637.46, avg_score_last_20 -1637.46, time_steps_per_episode 200, learning_steps 10, std_score 216.35, std_score_last_20 216.35, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 5
episode 5, score -1570.58, avg_score_total -1626.32, avg_score_last_20 -1626.32, time_steps_per_episode 200, learning_steps 10, std_score 199.07, std_score_last_20 199.07, total_time_steps 1200, total_learning_steps 60, total_terminations 0, total_truncations 6
episode 6, score -1290.89, avg_score_total -1578.40, avg_score_last_20 -1578.40, time_steps_per_episode 200, learning_steps 10, std_score 218.50, std_score_last_20 218.50, total_time_steps 1400, total_learning_steps 70, total_terminations 0, total_truncations 7
episode 7, score -1831.88, avg_score_total -1610.08, avg_score_last_20 -1610.08, time_steps_per_episode 200, learning_steps 10, std_score 220.92, std_score_last_20 220.92, total_time_steps 1600, total_learning_steps 80, total_terminations 0, total_truncations 8
episode 8, score -1448.69, avg_score_total -1592.15, avg_score_last_20 -1592.15, time_steps_per_episode 200, learning_steps 10, std_score 214.37, std_score_last_20 214.37, total_time_steps 1800, total_learning_steps 90, total_terminations 0, total_truncations 9
episode 9, score -1794.89, avg_score_total -1612.42, avg_score_last_20 -1612.42, time_steps_per_episode 200, learning_steps 10, std_score 212.27, std_score_last_20 212.27, total_time_steps 2000, total_learning_steps 100, total_terminations 0, total_truncations 10
episode 10, score -1451.84, avg_score_total -1597.83, avg_score_last_20 -1597.83, time_steps_per_episode 200, learning_steps 10, std_score 207.59, std_score_last_20 207.59, total_time_steps 2200, total_learning_steps 110, total_terminations 0, total_truncations 11
episode 11, score -1806.24, avg_score_total -1615.19, avg_score_last_20 -1615.19, time_steps_per_episode 200, learning_steps 10, std_score 206.93, std_score_last_20 206.93, total_time_steps 2400, total_learning_steps 120, total_terminations 0, total_truncations 12
episode 12, score -1808.95, avg_score_total -1630.10, avg_score_last_20 -1630.10, time_steps_per_episode 200, learning_steps 10, std_score 205.41, std_score_last_20 205.41, total_time_steps 2600, total_learning_steps 130, total_terminations 0, total_truncations 13
