episode 0, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 500, total_learning_steps 25, total_terminations 0, total_truncations 1
episode 1, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 2
episode 2, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 1500, total_learning_steps 75, total_terminations 0, total_truncations 3
episode 3, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 2000, total_learning_steps 100, total_terminations 0, total_truncations 4
episode 4, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 2500, total_learning_steps 125, total_terminations 0, total_truncations 5
episode 5, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 3000, total_learning_steps 150, total_terminations 0, total_truncations 6
episode 6, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 3500, total_learning_steps 175, total_terminations 0, total_truncations 7
episode 7, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 4000, total_learning_steps 200, total_terminations 0, total_truncations 8
episode 8, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 4500, total_learning_steps 225, total_terminations 0, total_truncations 9
episode 9, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 5000, total_learning_steps 250, total_terminations 0, total_truncations 10
episode 10, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 5500, total_learning_steps 275, total_terminations 0, total_truncations 11
episode 11, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 6000, total_learning_steps 300, total_terminations 0, total_truncations 12
episode 12, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 6500, total_learning_steps 325, total_terminations 0, total_truncations 13
episode 13, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 7000, total_learning_steps 350, total_terminations 0, total_truncations 14
episode 14, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 7500, total_learning_steps 375, total_terminations 0, total_truncations 15
episode 15, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 8000, total_learning_steps 400, total_terminations 0, total_truncations 16
episode 16, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 8500, total_learning_steps 425, total_terminations 0, total_truncations 17
episode 17, score -500.0, avg_score_total -500.000, avg_score_last_20 -500.000, time_steps_per_episode 500, learning_steps 25, std_score 0.000, std_score_last_20 0.000, total_time_steps 9000, total_learning_steps 450, total_terminations 0, total_truncations 18
episode 18, score -458.0, avg_score_total -497.789, avg_score_last_20 -497.789, time_steps_per_episode 459, learning_steps 22, std_score 9.378, std_score_last_20 9.378, total_time_steps 9459, total_learning_steps 472, total_terminations 1, total_truncations 18
episode 19, score -500.0, avg_score_total -497.900, avg_score_last_20 -497.900, time_steps_per_episode 500, learning_steps 25, std_score 9.154, std_score_last_20 9.154, total_time_steps 9959, total_learning_steps 497, total_terminations 1, total_truncations 19
episode 20, score -398.0, avg_score_total -493.143, avg_score_last_20 -492.800, time_steps_per_episode 399, learning_steps 19, std_score 23.074, std_score_last_20 23.592, total_time_steps 10358, total_learning_steps 516, total_terminations 2, total_truncations 19
episode 21, score -484.0, avg_score_total -492.727, avg_score_last_20 -492.000, time_steps_per_episode 485, learning_steps 24, std_score 22.624, std_score_last_20 23.605, total_time_steps 10843, total_learning_steps 540, total_terminations 3, total_truncations 19
episode 22, score -264.0, avg_score_total -482.783, avg_score_last_20 -480.200, time_steps_per_episode 265, learning_steps 13, std_score 51.627, std_score_last_20 54.900, total_time_steps 11108, total_learning_steps 553, total_terminations 4, total_truncations 19
episode 23, score -207.0, avg_score_total -471.292, avg_score_last_20 -465.550, time_steps_per_episode 208, learning_steps 10, std_score 74.774, std_score_last_20 80.695, total_time_steps 11316, total_learning_steps 563, total_terminations 5, total_truncations 19
episode 24, score -182.0, avg_score_total -459.720, avg_score_last_20 -449.650, time_steps_per_episode 183, learning_steps 9, std_score 92.635, std_score_last_20 101.092, total_time_steps 11499, total_learning_steps 572, total_terminations 6, total_truncations 19
episode 25, score -200.0, avg_score_total -449.731, avg_score_last_20 -434.650, time_steps_per_episode 201, learning_steps 10, std_score 103.662, std_score_last_20 113.947, total_time_steps 11700, total_learning_steps 582, total_terminations 7, total_truncations 19
episode 26, score -229.0, avg_score_total -441.556, avg_score_last_20 -421.100, time_steps_per_episode 230, learning_steps 11, std_score 109.934, std_score_last_20 121.250, total_time_steps 11930, total_learning_steps 593, total_terminations 8, total_truncations 19
episode 27, score -353.0, avg_score_total -438.393, avg_score_last_20 -413.750, time_steps_per_episode 354, learning_steps 17, std_score 109.197, std_score_last_20 120.698, total_time_steps 12284, total_learning_steps 610, total_terminations 9, total_truncations 19
episode 28, score -177.0, avg_score_total -429.379, avg_score_last_20 -397.600, time_steps_per_episode 178, learning_steps 8, std_score 117.421, std_score_last_20 129.375, total_time_steps 12462, total_learning_steps 618, total_terminations 10, total_truncations 19
episode 29, score -440.0, avg_score_total -429.733, avg_score_last_20 -394.600, time_steps_per_episode 441, learning_steps 22, std_score 115.463, std_score_last_20 127.650, total_time_steps 12903, total_learning_steps 640, total_terminations 11, total_truncations 19
episode 30, score -263.0, avg_score_total -424.355, avg_score_last_20 -382.750, time_steps_per_episode 264, learning_steps 13, std_score 117.343, std_score_last_20 128.314, total_time_steps 13167, total_learning_steps 653, total_terminations 12, total_truncations 19
episode 31, score -360.0, avg_score_total -422.344, avg_score_last_20 -375.750, time_steps_per_episode 361, learning_steps 18, std_score 116.037, std_score_last_20 125.515, total_time_steps 13528, total_learning_steps 671, total_terminations 13, total_truncations 19
episode 32, score -466.0, avg_score_total -423.667, avg_score_last_20 -374.050, time_steps_per_episode 467, learning_steps 23, std_score 114.510, std_score_last_20 124.042, total_time_steps 13995, total_learning_steps 694, total_terminations 14, total_truncations 19
episode 33, score -260.0, avg_score_total -418.853, avg_score_last_20 -362.050, time_steps_per_episode 261, learning_steps 13, std_score 116.153, std_score_last_20 122.881, total_time_steps 14256, total_learning_steps 707, total_terminations 15, total_truncations 19
episode 34, score -248.0, avg_score_total -413.971, avg_score_last_20 -349.450, time_steps_per_episode 249, learning_steps 12, std_score 117.967, std_score_last_20 120.995, total_time_steps 14505, total_learning_steps 719, total_terminations 16, total_truncations 19
episode 35, score -257.0, avg_score_total -409.611, avg_score_last_20 -337.300, time_steps_per_episode 258, learning_steps 12, std_score 119.143, std_score_last_20 117.415, total_time_steps 14763, total_learning_steps 731, total_terminations 17, total_truncations 19
episode 36, score -242.0, avg_score_total -405.081, avg_score_last_20 -324.400, time_steps_per_episode 243, learning_steps 12, std_score 120.624, std_score_last_20 112.917, total_time_steps 15006, total_learning_steps 743, total_terminations 18, total_truncations 19
episode 37, score -199.0, avg_score_total -399.658, avg_score_last_20 -309.350, time_steps_per_episode 200, learning_steps 10, std_score 123.513, std_score_last_20 108.482, total_time_steps 15206, total_learning_steps 753, total_terminations 19, total_truncations 19
