episode 0, score 20.0, avg_score_total 20.000, avg_score_last_20 20.000, time_steps_per_episode 20, learning_steps 1, std_score 0.000, std_score_last_20 0.000, total_time_steps 20, total_learning_steps 1, total_terminations 1, total_truncations 0
episode 1, score 59.0, avg_score_total 39.500, avg_score_last_20 39.500, time_steps_per_episode 59, learning_steps 2, std_score 19.500, std_score_last_20 19.500, total_time_steps 79, total_learning_steps 3, total_terminations 2, total_truncations 0
episode 2, score 27.0, avg_score_total 35.333, avg_score_last_20 35.333, time_steps_per_episode 27, learning_steps 1, std_score 16.977, std_score_last_20 16.977, total_time_steps 106, total_learning_steps 4, total_terminations 3, total_truncations 0
episode 3, score 72.0, avg_score_total 44.500, avg_score_last_20 44.500, time_steps_per_episode 72, learning_steps 3, std_score 21.639, std_score_last_20 21.639, total_time_steps 178, total_learning_steps 7, total_terminations 4, total_truncations 0
episode 4, score 37.0, avg_score_total 43.000, avg_score_last_20 43.000, time_steps_per_episode 37, learning_steps 1, std_score 19.586, std_score_last_20 19.586, total_time_steps 215, total_learning_steps 8, total_terminations 5, total_truncations 0
episode 5, score 30.0, avg_score_total 40.833, avg_score_last_20 40.833, time_steps_per_episode 30, learning_steps 1, std_score 18.524, std_score_last_20 18.524, total_time_steps 245, total_learning_steps 9, total_terminations 6, total_truncations 0
episode 6, score 36.0, avg_score_total 40.143, avg_score_last_20 40.143, time_steps_per_episode 36, learning_steps 1, std_score 17.233, std_score_last_20 17.233, total_time_steps 281, total_learning_steps 10, total_terminations 7, total_truncations 0
episode 7, score 22.0, avg_score_total 37.875, avg_score_last_20 37.875, time_steps_per_episode 22, learning_steps 1, std_score 17.201, std_score_last_20 17.201, total_time_steps 303, total_learning_steps 11, total_terminations 8, total_truncations 0
episode 8, score 31.0, avg_score_total 37.111, avg_score_last_20 37.111, time_steps_per_episode 31, learning_steps 1, std_score 16.360, std_score_last_20 16.360, total_time_steps 334, total_learning_steps 12, total_terminations 9, total_truncations 0
episode 9, score 28.0, avg_score_total 36.200, avg_score_last_20 36.200, time_steps_per_episode 28, learning_steps 1, std_score 15.759, std_score_last_20 15.759, total_time_steps 362, total_learning_steps 13, total_terminations 10, total_truncations 0
episode 10, score 34.0, avg_score_total 36.000, avg_score_last_20 36.000, time_steps_per_episode 34, learning_steps 1, std_score 15.039, std_score_last_20 15.039, total_time_steps 396, total_learning_steps 14, total_terminations 11, total_truncations 0
episode 11, score 19.0, avg_score_total 34.583, avg_score_last_20 34.583, time_steps_per_episode 19, learning_steps 0, std_score 15.146, std_score_last_20 15.146, total_time_steps 415, total_learning_steps 14, total_terminations 12, total_truncations 0
episode 12, score 13.0, avg_score_total 32.923, avg_score_last_20 32.923, time_steps_per_episode 13, learning_steps 0, std_score 15.647, std_score_last_20 15.647, total_time_steps 428, total_learning_steps 14, total_terminations 13, total_truncations 0
episode 13, score 18.0, avg_score_total 31.857, avg_score_last_20 31.857, time_steps_per_episode 18, learning_steps 0, std_score 15.560, std_score_last_20 15.560, total_time_steps 446, total_learning_steps 14, total_terminations 14, total_truncations 0
episode 14, score 42.0, avg_score_total 32.533, avg_score_last_20 32.533, time_steps_per_episode 42, learning_steps 2, std_score 15.244, std_score_last_20 15.244, total_time_steps 488, total_learning_steps 16, total_terminations 15, total_truncations 0
episode 15, score 69.0, avg_score_total 34.812, avg_score_last_20 34.812, time_steps_per_episode 69, learning_steps 3, std_score 17.198, std_score_last_20 17.198, total_time_steps 557, total_learning_steps 19, total_terminations 16, total_truncations 0
episode 16, score 14.0, avg_score_total 33.588, avg_score_last_20 33.588, time_steps_per_episode 14, learning_steps 0, std_score 17.388, std_score_last_20 17.388, total_time_steps 571, total_learning_steps 19, total_terminations 17, total_truncations 0
episode 17, score 23.0, avg_score_total 33.000, avg_score_last_20 33.000, time_steps_per_episode 23, learning_steps 1, std_score 17.072, std_score_last_20 17.072, total_time_steps 594, total_learning_steps 20, total_terminations 18, total_truncations 0
episode 18, score 12.0, avg_score_total 31.895, avg_score_last_20 31.895, time_steps_per_episode 12, learning_steps 0, std_score 17.265, std_score_last_20 17.265, total_time_steps 606, total_learning_steps 20, total_terminations 19, total_truncations 0
episode 19, score 36.0, avg_score_total 32.100, avg_score_last_20 32.100, time_steps_per_episode 36, learning_steps 1, std_score 16.852, std_score_last_20 16.852, total_time_steps 642, total_learning_steps 21, total_terminations 20, total_truncations 0
episode 20, score 35.0, avg_score_total 32.238, avg_score_last_20 32.850, time_steps_per_episode 35, learning_steps 1, std_score 16.457, std_score_last_20 16.629, total_time_steps 677, total_learning_steps 22, total_terminations 21, total_truncations 0
episode 21, score 23.0, avg_score_total 31.818, avg_score_last_20 31.050, time_steps_per_episode 23, learning_steps 1, std_score 16.194, std_score_last_20 15.619, total_time_steps 700, total_learning_steps 23, total_terminations 22, total_truncations 0
episode 22, score 14.0, avg_score_total 31.043, avg_score_last_20 30.400, time_steps_per_episode 14, learning_steps 0, std_score 16.249, std_score_last_20 16.039, total_time_steps 714, total_learning_steps 23, total_terminations 23, total_truncations 0
episode 23, score 17.0, avg_score_total 30.458, avg_score_last_20 27.650, time_steps_per_episode 17, learning_steps 0, std_score 16.153, std_score_last_20 13.120, total_time_steps 731, total_learning_steps 23, total_terminations 24, total_truncations 0
episode 24, score 34.0, avg_score_total 30.600, avg_score_last_20 27.500, time_steps_per_episode 34, learning_steps 1, std_score 15.842, std_score_last_20 13.029, total_time_steps 765, total_learning_steps 24, total_terminations 25, total_truncations 0
episode 25, score 57.0, avg_score_total 31.615, avg_score_last_20 28.850, time_steps_per_episode 57, learning_steps 2, std_score 16.343, std_score_last_20 14.530, total_time_steps 822, total_learning_steps 26, total_terminations 26, total_truncations 0
episode 26, score 18.0, avg_score_total 31.111, avg_score_last_20 27.950, time_steps_per_episode 18, learning_steps 0, std_score 16.242, std_score_last_20 14.617, total_time_steps 840, total_learning_steps 26, total_terminations 27, total_truncations 0
episode 27, score 18.0, avg_score_total 30.643, avg_score_last_20 27.750, time_steps_per_episode 18, learning_steps 0, std_score 16.134, std_score_last_20 14.724, total_time_steps 858, total_learning_steps 26, total_terminations 28, total_truncations 0
episode 28, score 36.0, avg_score_total 30.828, avg_score_last_20 28.000, time_steps_per_episode 36, learning_steps 1, std_score 15.883, std_score_last_20 14.819, total_time_steps 894, total_learning_steps 27, total_terminations 29, total_truncations 0
episode 29, score 28.0, avg_score_total 30.733, avg_score_last_20 28.000, time_steps_per_episode 28, learning_steps 1, std_score 15.625, std_score_last_20 14.819, total_time_steps 922, total_learning_steps 28, total_terminations 30, total_truncations 0
episode 30, score 43.0, avg_score_total 31.129, avg_score_last_20 28.450, time_steps_per_episode 43, learning_steps 2, std_score 15.523, std_score_last_20 15.128, total_time_steps 965, total_learning_steps 30, total_terminations 31, total_truncations 0
episode 31, score 23.0, avg_score_total 30.875, avg_score_last_20 28.650, time_steps_per_episode 23, learning_steps 1, std_score 15.343, std_score_last_20 15.028, total_time_steps 988, total_learning_steps 31, total_terminations 32, total_truncations 0
episode 32, score 32.0, avg_score_total 30.909, avg_score_last_20 29.600, time_steps_per_episode 32, learning_steps 1, std_score 15.110, std_score_last_20 14.603, total_time_steps 1020, total_learning_steps 32, total_terminations 33, total_truncations 0
