episode 0, score 11.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 11, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 11, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 10.0, avg_score_total 10.500, avg_score_last_20 10.500, time_steps_per_episode 10, learning_steps 0, std_score 0.500, std_score_last_20 0.500, total_time_steps 21, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 15.0, avg_score_total 12.000, avg_score_last_20 12.000, time_steps_per_episode 15, learning_steps 0, std_score 2.160, std_score_last_20 2.160, total_time_steps 36, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 9.0, avg_score_total 11.250, avg_score_last_20 11.250, time_steps_per_episode 9, learning_steps 0, std_score 2.278, std_score_last_20 2.278, total_time_steps 45, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 19.0, avg_score_total 12.800, avg_score_last_20 12.800, time_steps_per_episode 19, learning_steps 0, std_score 3.709, std_score_last_20 3.709, total_time_steps 64, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 29.0, avg_score_total 15.500, avg_score_last_20 15.500, time_steps_per_episode 29, learning_steps 1, std_score 6.922, std_score_last_20 6.922, total_time_steps 93, total_learning_steps 1, total_terminations 6, total_truncations 0
episode 6, score 60.0, avg_score_total 21.857, avg_score_last_20 21.857, time_steps_per_episode 60, learning_steps 3, std_score 16.839, std_score_last_20 16.839, total_time_steps 153, total_learning_steps 4, total_terminations 7, total_truncations 0
episode 7, score 17.0, avg_score_total 21.250, avg_score_last_20 21.250, time_steps_per_episode 17, learning_steps 0, std_score 15.833, std_score_last_20 15.833, total_time_steps 170, total_learning_steps 4, total_terminations 8, total_truncations 0
episode 8, score 18.0, avg_score_total 20.889, avg_score_last_20 20.889, time_steps_per_episode 18, learning_steps 0, std_score 14.963, std_score_last_20 14.963, total_time_steps 188, total_learning_steps 4, total_terminations 9, total_truncations 0
episode 9, score 23.0, avg_score_total 21.100, avg_score_last_20 21.100, time_steps_per_episode 23, learning_steps 1, std_score 14.209, std_score_last_20 14.209, total_time_steps 211, total_learning_steps 5, total_terminations 10, total_truncations 0
episode 10, score 23.0, avg_score_total 21.273, avg_score_last_20 21.273, time_steps_per_episode 23, learning_steps 1, std_score 13.559, std_score_last_20 13.559, total_time_steps 234, total_learning_steps 6, total_terminations 11, total_truncations 0
episode 11, score 19.0, avg_score_total 21.083, avg_score_last_20 21.083, time_steps_per_episode 19, learning_steps 0, std_score 12.997, std_score_last_20 12.997, total_time_steps 253, total_learning_steps 6, total_terminations 12, total_truncations 0
episode 12, score 26.0, avg_score_total 21.462, avg_score_last_20 21.462, time_steps_per_episode 26, learning_steps 1, std_score 12.555, std_score_last_20 12.555, total_time_steps 279, total_learning_steps 7, total_terminations 13, total_truncations 0
episode 13, score 29.0, avg_score_total 22.000, avg_score_last_20 22.000, time_steps_per_episode 29, learning_steps 1, std_score 12.253, std_score_last_20 12.253, total_time_steps 308, total_learning_steps 8, total_terminations 14, total_truncations 0
episode 14, score 14.0, avg_score_total 21.467, avg_score_last_20 21.467, time_steps_per_episode 14, learning_steps 0, std_score 12.005, std_score_last_20 12.005, total_time_steps 322, total_learning_steps 8, total_terminations 15, total_truncations 0
episode 15, score 22.0, avg_score_total 21.500, avg_score_last_20 21.500, time_steps_per_episode 22, learning_steps 1, std_score 11.624, std_score_last_20 11.624, total_time_steps 344, total_learning_steps 9, total_terminations 16, total_truncations 0
episode 16, score 14.0, avg_score_total 21.059, avg_score_last_20 21.059, time_steps_per_episode 14, learning_steps 0, std_score 11.414, std_score_last_20 11.414, total_time_steps 358, total_learning_steps 9, total_terminations 17, total_truncations 0
episode 17, score 13.0, avg_score_total 20.611, avg_score_last_20 20.611, time_steps_per_episode 13, learning_steps 0, std_score 11.245, std_score_last_20 11.245, total_time_steps 371, total_learning_steps 9, total_terminations 18, total_truncations 0
