episode 0, score 10.0, avg_score_total 10.000, avg_score_last_20 10.000, time_steps_per_episode 10, learning_steps 0, std_score 0.000, std_score_last_20 0.000, total_time_steps 10, total_learning_steps 0, total_terminations 1, total_truncations 0
episode 1, score 12.0, avg_score_total 11.000, avg_score_last_20 11.000, time_steps_per_episode 12, learning_steps 0, std_score 1.000, std_score_last_20 1.000, total_time_steps 22, total_learning_steps 0, total_terminations 2, total_truncations 0
episode 2, score 15.0, avg_score_total 12.333, avg_score_last_20 12.333, time_steps_per_episode 15, learning_steps 0, std_score 2.055, std_score_last_20 2.055, total_time_steps 37, total_learning_steps 0, total_terminations 3, total_truncations 0
episode 3, score 10.0, avg_score_total 11.750, avg_score_last_20 11.750, time_steps_per_episode 10, learning_steps 0, std_score 2.046, std_score_last_20 2.046, total_time_steps 47, total_learning_steps 0, total_terminations 4, total_truncations 0
episode 4, score 18.0, avg_score_total 13.000, avg_score_last_20 13.000, time_steps_per_episode 18, learning_steps 0, std_score 3.098, std_score_last_20 3.098, total_time_steps 65, total_learning_steps 0, total_terminations 5, total_truncations 0
episode 5, score 23.0, avg_score_total 14.667, avg_score_last_20 14.667, time_steps_per_episode 23, learning_steps 1, std_score 4.679, std_score_last_20 4.679, total_time_steps 88, total_learning_steps 1, total_terminations 6, total_truncations 0
episode 6, score 9.0, avg_score_total 13.857, avg_score_last_20 13.857, time_steps_per_episode 9, learning_steps 0, std_score 4.764, std_score_last_20 4.764, total_time_steps 97, total_learning_steps 1, total_terminations 7, total_truncations 0
episode 7, score 16.0, avg_score_total 14.125, avg_score_last_20 14.125, time_steps_per_episode 16, learning_steps 0, std_score 4.512, std_score_last_20 4.512, total_time_steps 113, total_learning_steps 1, total_terminations 8, total_truncations 0
episode 8, score 29.0, avg_score_total 15.778, avg_score_last_20 15.778, time_steps_per_episode 29, learning_steps 1, std_score 6.321, std_score_last_20 6.321, total_time_steps 142, total_learning_steps 2, total_terminations 9, total_truncations 0
episode 9, score 27.0, avg_score_total 16.900, avg_score_last_20 16.900, time_steps_per_episode 27, learning_steps 1, std_score 6.877, std_score_last_20 6.877, total_time_steps 169, total_learning_steps 3, total_terminations 10, total_truncations 0
episode 10, score 12.0, avg_score_total 16.455, avg_score_last_20 16.455, time_steps_per_episode 12, learning_steps 0, std_score 6.706, std_score_last_20 6.706, total_time_steps 181, total_learning_steps 3, total_terminations 11, total_truncations 0
episode 11, score 24.0, avg_score_total 17.083, avg_score_last_20 17.083, time_steps_per_episode 24, learning_steps 1, std_score 6.751, std_score_last_20 6.751, total_time_steps 205, total_learning_steps 4, total_terminations 12, total_truncations 0
episode 12, score 12.0, avg_score_total 16.692, avg_score_last_20 16.692, time_steps_per_episode 12, learning_steps 0, std_score 6.626, std_score_last_20 6.626, total_time_steps 217, total_learning_steps 4, total_terminations 13, total_truncations 0
episode 13, score 9.0, avg_score_total 16.143, avg_score_last_20 16.143, time_steps_per_episode 9, learning_steps 0, std_score 6.685, std_score_last_20 6.685, total_time_steps 226, total_learning_steps 4, total_terminations 14, total_truncations 0
episode 14, score 18.0, avg_score_total 16.267, avg_score_last_20 16.267, time_steps_per_episode 18, learning_steps 0, std_score 6.475, std_score_last_20 6.475, total_time_steps 244, total_learning_steps 4, total_terminations 15, total_truncations 0
episode 15, score 15.0, avg_score_total 16.188, avg_score_last_20 16.188, time_steps_per_episode 15, learning_steps 0, std_score 6.277, std_score_last_20 6.277, total_time_steps 259, total_learning_steps 4, total_terminations 16, total_truncations 0
episode 16, score 14.0, avg_score_total 16.059, avg_score_last_20 16.059, time_steps_per_episode 14, learning_steps 0, std_score 6.111, std_score_last_20 6.111, total_time_steps 273, total_learning_steps 4, total_terminations 17, total_truncations 0
episode 17, score 14.0, avg_score_total 15.944, avg_score_last_20 15.944, time_steps_per_episode 14, learning_steps 0, std_score 5.958, std_score_last_20 5.958, total_time_steps 287, total_learning_steps 4, total_terminations 18, total_truncations 0
episode 18, score 21.0, avg_score_total 16.211, avg_score_last_20 16.211, time_steps_per_episode 21, learning_steps 1, std_score 5.908, std_score_last_20 5.908, total_time_steps 308, total_learning_steps 5, total_terminations 19, total_truncations 0
episode 19, score 20.0, avg_score_total 16.400, avg_score_last_20 16.400, time_steps_per_episode 20, learning_steps 1, std_score 5.817, std_score_last_20 5.817, total_time_steps 328, total_learning_steps 6, total_terminations 20, total_truncations 0
episode 20, score 18.0, avg_score_total 16.476, avg_score_last_20 16.800, time_steps_per_episode 18, learning_steps 0, std_score 5.687, std_score_last_20 5.636, total_time_steps 346, total_learning_steps 6, total_terminations 21, total_truncations 0
episode 21, score 14.0, avg_score_total 16.364, avg_score_last_20 16.900, time_steps_per_episode 14, learning_steps 0, std_score 5.580, std_score_last_20 5.567, total_time_steps 360, total_learning_steps 6, total_terminations 22, total_truncations 0
episode 22, score 9.0, avg_score_total 16.043, avg_score_last_20 16.600, time_steps_per_episode 9, learning_steps 0, std_score 5.661, std_score_last_20 5.817, total_time_steps 369, total_learning_steps 6, total_terminations 23, total_truncations 0
