episode 0, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 200, total_learning_steps 10, total_terminations 0, total_truncations 1
episode 1, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 400, total_learning_steps 20, total_terminations 0, total_truncations 2
episode 2, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 600, total_learning_steps 30, total_terminations 0, total_truncations 3
episode 3, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 800, total_learning_steps 40, total_terminations 0, total_truncations 4
episode 4, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 5
episode 5, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 1200, total_learning_steps 60, total_terminations 0, total_truncations 6
episode 6, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 1400, total_learning_steps 70, total_terminations 0, total_truncations 7
episode 7, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 1600, total_learning_steps 80, total_terminations 0, total_truncations 8
episode 8, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 1800, total_learning_steps 90, total_terminations 0, total_truncations 9
episode 9, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 2000, total_learning_steps 100, total_terminations 0, total_truncations 10
episode 10, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 2200, total_learning_steps 110, total_terminations 0, total_truncations 11
episode 11, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 2400, total_learning_steps 120, total_terminations 0, total_truncations 12
episode 12, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 2600, total_learning_steps 130, total_terminations 0, total_truncations 13
episode 13, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 2800, total_learning_steps 140, total_terminations 0, total_truncations 14
episode 14, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 3000, total_learning_steps 150, total_terminations 0, total_truncations 15
episode 15, score -200.0, avg_score_total -200.000, avg_score_last_20 -200.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 3200, total_learning_steps 160, total_terminations 0, total_truncations 16
