episode 0, score -254, avg_score_total -254.000, avg_score_last_20 -254.000, time_steps_per_episode 200, learning_steps 10, std_score 0.000, std_score_last_20 0.000, total_time_steps 200, total_learning_steps 10, total_terminations 0, total_truncations 1
episode 1, score -200, avg_score_total -227.000, avg_score_last_20 -227.000, time_steps_per_episode 200, learning_steps 10, std_score 27.000, std_score_last_20 27.000, total_time_steps 400, total_learning_steps 20, total_terminations 0, total_truncations 2
episode 2, score -209, avg_score_total -221.000, avg_score_last_20 -221.000, time_steps_per_episode 200, learning_steps 10, std_score 23.622, std_score_last_20 23.622, total_time_steps 600, total_learning_steps 30, total_terminations 0, total_truncations 3
episode 3, score -200, avg_score_total -215.750, avg_score_last_20 -215.750, time_steps_per_episode 200, learning_steps 10, std_score 22.387, std_score_last_20 22.387, total_time_steps 800, total_learning_steps 40, total_terminations 0, total_truncations 4
episode 4, score -254, avg_score_total -223.400, avg_score_last_20 -223.400, time_steps_per_episode 200, learning_steps 10, std_score 25.200, std_score_last_20 25.200, total_time_steps 1000, total_learning_steps 50, total_terminations 0, total_truncations 5
episode 5, score -245, avg_score_total -227.000, avg_score_last_20 -227.000, time_steps_per_episode 200, learning_steps 10, std_score 24.372, std_score_last_20 24.372, total_time_steps 1200, total_learning_steps 60, total_terminations 0, total_truncations 6
episode 6, score -263, avg_score_total -232.143, avg_score_last_20 -232.143, time_steps_per_episode 200, learning_steps 10, std_score 25.843, std_score_last_20 25.843, total_time_steps 1400, total_learning_steps 70, total_terminations 0, total_truncations 7
episode 7, score -200, avg_score_total -228.125, avg_score_last_20 -228.125, time_steps_per_episode 200, learning_steps 10, std_score 26.408, std_score_last_20 26.408, total_time_steps 1600, total_learning_steps 80, total_terminations 0, total_truncations 8
episode 8, score -290, avg_score_total -235.000, avg_score_last_20 -235.000, time_steps_per_episode 200, learning_steps 10, std_score 31.591, std_score_last_20 31.591, total_time_steps 1800, total_learning_steps 90, total_terminations 0, total_truncations 9
episode 9, score -200, avg_score_total -231.500, avg_score_last_20 -231.500, time_steps_per_episode 200, learning_steps 10, std_score 31.756, std_score_last_20 31.756, total_time_steps 2000, total_learning_steps 100, total_terminations 0, total_truncations 10
episode 10, score -200, avg_score_total -228.636, avg_score_last_20 -228.636, time_steps_per_episode 200, learning_steps 10, std_score 31.603, std_score_last_20 31.603, total_time_steps 2200, total_learning_steps 110, total_terminations 0, total_truncations 11
episode 11, score -209, avg_score_total -227.000, avg_score_last_20 -227.000, time_steps_per_episode 200, learning_steps 10, std_score 30.741, std_score_last_20 30.741, total_time_steps 2400, total_learning_steps 120, total_terminations 0, total_truncations 12
episode 12, score -209, avg_score_total -225.615, avg_score_last_20 -225.615, time_steps_per_episode 200, learning_steps 10, std_score 29.922, std_score_last_20 29.922, total_time_steps 2600, total_learning_steps 130, total_terminations 0, total_truncations 13
episode 13, score -227, avg_score_total -225.714, avg_score_last_20 -225.714, time_steps_per_episode 200, learning_steps 10, std_score 28.836, std_score_last_20 28.836, total_time_steps 2800, total_learning_steps 140, total_terminations 0, total_truncations 14
episode 14, score -209, avg_score_total -224.600, avg_score_last_20 -224.600, time_steps_per_episode 200, learning_steps 10, std_score 28.168, std_score_last_20 28.168, total_time_steps 3000, total_learning_steps 150, total_terminations 0, total_truncations 15
